Código Materia;Nombre;Créditos;Prerequisitos(?:)*;Corequisitos(?:)*;Estado;Descripción
MATE 1106;Álgebra Lineal (Honores);3;MATE 1203?MATE 1204;;Pendiente;El contenido es el mismo de MATE-1105 pero con mayor profundidad y rigor. Vectores en el espacio Euclideo, norma y producto escalar.  Matrices y su álgebra, sistemas de ecuaciones lineales. Inversas de matrices cuadradas, sistemas homogéneos, subespacios y bases. Independencia y dimensión, el rango de una matriz. Transformaciones lineales en espacios Euclideos, transformaciones lineales del plano. Espacios vectoriales, conceptos básicos en espacios vectoriales, vectores en coordenadas. Transformaciones lineales y determinantes. Áreas, volúmenes y producto cruz, el determinante de una matriz cuadrada, cálculo de determinantes y regla de Cramer. Valores y vectores propios, diagonalización y aplicaciones. Proyecciones, el proceso de ortogonalización de Gram-Schmidt, matrices ortogonales. Matriz de proyección y el método de cuadrados mínimos. Cambio de base, representaciones matriciales y similaridad. Diagonalización de formas cuadráticas. Aplicaciones a la geometría.
MATE 1204;Cálculo Diferencial (Honores);3;MATE 1201;;Aprobado;Este curso se recomienda a los estudiantes que traen mejores bases matemáticas del bachillerato, a los más interesados en esta disciplina y, en particular, a los estudiantes de matemáticas. En los distintos programas de estudio de la universidad, es equivalente al curso MATE-1203 y su contenido es el mismo, pero con mayor profundidad y rigor pues se imparte a estudiantes con mayor preparación y más competitivos.Funciones: álgebra de funciones, funciones trigonométricas, exponencial, funciones inversas, logaritmos, inversas trigonométricas, principios de resolución de problemas.Límites y derivadas: velocidad y tangentes, límite de una función, cálculo de límites, continuidad, límites al infinito, razones de cambio, derivadas, la función derivada, reglas de derivación, derivadas de funciones trigonométricas, regla de cadena, derivación implícita, derivadas de logaritmos, derivadas de orden superior, funciones hiperbólicas.Aplicaciones de las derivadas: razones relacionadas, máximos y mínimos, Teorema del Valor Medio, derivadas y gráficas, Regla de l'Hôpital, trazado de curvas, optimización.Integrales: antiderivadas, áreas y distancia, integral definida, Teorema Fundamental del Cálculo, integración por sustitución, áreas entre curvas, volúmenes de sólidos de rotación por los métodos de rebanadas y de conchas cilíndricas.
MATE 1215;Cálculo Integral con ecuaciones diferenciales (Honores);3;MATE 1203?MATE 1204;;Pendiente;En contenido, este curso es similar al curso MATE-1214, pero el tratamiento de los temas se hace más a profundidad. El contenido cubre integración por partes, integrales trigonométricas, sustitución trigonométrica, fracciones parciales, estrategias de integración, integrales impropias, longitud de arco, área de superficie de revolución, aplicaciones a otras disciplinas, modelación con ecuaciones diferenciales de primer orden, ecuaciones separables, crecimiento y decaimiento exponencial, ecuación logística, ecuación lineal de primer orden, ecuaciones paramétricas, cálculo con ecuaciones paramétricas, coordenadas polares, áreas y longitud en coordenadas polares, sucesiones, series, criteriode la integral, criterios de comparación, series alternantes, criterios de la razón y la raíz n-ésima, series de potencias, representación en series de potencias, series de Taylor y Maclaurin, números complejos, ecuaciones diferenciales lineales de segundo orden de coeficientes constantes.
ISIS 1104;Matemática Estructural y Lógica;3;ISIS 1221;;Pendiente;El objetivo de este curso es enseñar a los estudiantes los conceptos básicos de matemáticas discretas necesarios para la ingeniería de sistemas. El curso debe proveer al estudiante un lenguaje para poder describir modelos formalmente, razonar sobre estos formalismos, entender y desarrollar demostraciones sobre los modelos. Al final del curso se esPeñaría que el estudiante pueda: Entender la notación y la semántica de modelos como conjuntos, relaciones, funciones, aritmética, lógica. Ser capaz de aplicar razonamiento matemático aplicando estrategias de demostración como inducción matemática y estructural, deducción, principio del palomar, etc.
ISIS 1225;Estructuras de Datos y Algoritmos;3;ISIS 1221;;Pendiente;
DERE 1300;Constitución y Democracia;3;;;Pendiente;Este curso constituye una política general de la Universidad que responde al mandato constitucional de enseñanza de la Constitución (Artículo 41), y su misión central consiste en fortalecer en los estudiantes el conocimiento crítico y la capacidad de actuación conforme a valores que como ciudadanos es imprescindible que posean para un ejercicio responsable de sus deberes y derechos. Al finalizar el curso, se espera que los estudiantes cuenten con los conocimientos y la reflexión necesarios que les permitan cualificar su intervención como ciudadanos, al habilitarlos con herramientas para comprender la relación entre Estado, legalidad y sociedad; las técnicas, propósitos y oportunidades para ejercer responsablemente el reclamo de Derechos Individuales y Colectivos; las técnicas, límites y oportunidades de la participación ciudadana en política; y los marcos mínimos legales y políticos de un ejercicio profesional responsable.
LENG 1157;English 07 Speaking 1;2;LENG 1156;;Pendiente;English 7 is the first course in the skills cycle and has a specific topic: language learning and aspects of spoken language. This topic is useful and interesting at this level because it helps the student to understand why they have the difficulties they have in learning English, particularly in decoding and input. This increased knowledge will allow them to develop some learning and communication strategies to help them continue their English language learning outside class and after they leave the university.
LENG 1158;English 08 Writing 1;2;LENG 1157;;Pendiente;English 8 is an academic writing workshop whose main objective is to assist students in developing strategies and basic principles of writing in English. This course conceives academic writing as a continuous and permanent process that develops throughout life. For this reason, its scope is focused on exploring and developing a series of strategies, general considerations and specific conceptual tools in the student which allow him/her to continue to build more solid writing processes oriented towards his/her professional disciplines. The course explores the three stages of academic writing, namely pre-writing, planning, organizing, and making decisions about topics, the audience, and the purposes of writing, among others. The writing and rewriting stages have a strong component of reflection, analysis and self-evaluation of grammatical and syntactic-semantic knowledge applied to textual information and, finally, the revision and edition stages in which guided strategies are applied to improve the final version of the text being written. With this tripartite vision of writing, an integral and guided process is achieved in which the student is the main actor in his/his learning process.
LITE 1621;Escritura Universitaria I;2;;;Pendiente;Este curso –diseñado en conjunto por el Centro de Español y los Departamentos de Humanidades y Literatura y Lenguas y Cultura– busca desarrollar las competencias de lectura y escritura necesarias para comprender, interpretar, sintetizar y valorar críticamente textos académicos en la universidad. Para esto, los estudiantes leerán artículos académicos y aprenderán a identificar sus principales características. Posteriormente, con el fin de evaluar estas competencias de lectura, los estudiantes escribirán resúmenes –en los que darán cuenta de su capacidad de síntesis– y reseñas –en las que evidenciarán su habilidad para formular juicios críticos sobre una lectura–. Estas actividades de escritura permitirán que los estudiantes reconozcan el proceso que implica la redacción de estos textos en su trayectoria universitaria.
LITE 1622;Escritura Universitaria II;2;LITE 1621;;Pendiente;Este curso –diseñado en conjunto por el Centro de Español y los Departamentos de Humanidades y Literatura y Lenguas y Cultura– busca desarrollar las competencias necesarias para la escritura de textos argumentativos en la universidad. Con este fin, los estudiantes aprenderán los fundamentos de la argumentación, a partir del análisis y la discusión de textos argumentativos. Posteriormente, trabajarán en la búsqueda y selección de fuentes académicas que les permitan formular y sustentar una posición fundamentada e independiente sobre un tema. Finalmente, a través de un proceso guiado por el profesor, escribirán un texto argumentativo en el que desarrollarán su postura a partir del planteamiento de una tesis y la construcción de argumentos que la sustenten. Este ejercicio les permitirá a los estudiantes asumir una posición responsable de lo que proponen y de la forma en la que lo comunican a lo largo de su trayectoria universitaria.
ISIS 1001;Introducción a la Ingeniería de Sistemas;3;;;Pendiente;Este curso busca desarrollar en los participantes sentido de pertenencia a su carrera, institución y programa, al igual que fomentar el contacto con la vida empresarial aprovechando las oportunidades que brindan distintas fuentes de información y la interacción con otros alumnos, profesores y profesionales en el área. Adicionalmente, pretende desarrollar capacidad individual y grupal para auto-gestionar el proceso de aprendizaje: llevar a cabo procesos y proyectos de aprendizaje, tomando en consideración las condicionantes típicas de la vida universitaria. Por último busca formar a los participantes en algunos de los conceptos básicos de la Ingeniería de Sistemas y Computación e informar sobre algunas de las áreas avanzadas de la carrera. Al final de curso se esperaría que los estudiantes puedan: Fortalecer las habilidades de trabajo en grupo y desarrollo de proyectos en ingeniería. Indagar con efectividad en distintas fuentes de información (documentales, electrónicas, personales…) acerca de temas de interés relevantes para el curso y presentar un informe oral y escrito al respecto, de modo que cumpla con las normas de presentación de monografías y de presentaciones orales efectivas. Demostrar capacidad de lectura comprensiva de artículos sobre temas de interés relevantes para el curso, a través de solución correcta de quices y de participación efectiva en discusiones que utilicen tales conocimientos. Conocer el reglamento de la Universidad y el currículo de la carrera, mediante la formulación de un plan de vida dentro de la Universidad.
ISIS 1221;Introducción a la Programación;3;;;Pendiente;
